,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
185,Islamabad,Pakistan,2021-01-28 05:22:24,33.665087,73.121219,41076.0,472.0
186,Khyber Pakhtunkhwa,Pakistan,2021-01-28 05:22:24,34.485332,72.09169,66198.0,1870.0
187,Punjab,Pakistan,2021-01-28 05:22:24,30.811346,72.13913199999998,155805.0,4661.0
188,Sindh,Pakistan,2021-01-28 05:22:24,26.009446,68.77680699999999,243683.0,3957.0
189,Azad Jammu and Kashmir,Pakistan,2021-01-29 05:22:23,34.027401,73.947253,8953.0,259.0
190,Balochistan,Pakistan,2021-01-29 05:22:23,28.328492,65.898403,18798.0,194.0
191,Gilgit-Baltistan,Pakistan,2021-01-29 05:22:23,35.792146,74.982138,4909.0,102.0
192,Islamabad,Pakistan,2021-01-29 05:22:23,33.665087,73.121219,41176.0,476.0
193,Khyber Pakhtunkhwa,Pakistan,2021-01-29 05:22:23,34.485332,72.09169,66451.0,1879.0
194,Punjab,Pakistan,2021-01-29 05:22:23,30.811346,72.13913199999998,156404.0,4681.0
195,Sindh,Pakistan,2021-01-29 05:22:23,26.009446,68.77680699999999,244340.0,3969.0
196,Azad Jammu and Kashmir,Pakistan,2021-01-30 05:22:49,34.027401,73.947253,8972.0,259.0
197,Balochistan,Pakistan,2021-01-30 05:22:49,28.328492,65.898403,18809.0,195.0
198,Gilgit-Baltistan,Pakistan,2021-01-30 05:22:49,35.792146,74.982138,4908.0,102.0
199,Islamabad,Pakistan,2021-01-30 05:22:49,33.665087,73.121219,41255.0,475.0
200,Khyber Pakhtunkhwa,Pakistan,2021-01-30 05:22:49,34.485332,72.09169,66679.0,1890.0
201,Punjab,Pakistan,2021-01-30 05:22:49,30.811346,72.13913199999998,156928.0,4716.0
202,Sindh,Pakistan,2021-01-30 05:22:49,26.009446,68.77680699999999,245663.0,3986.0
203,Azad Jammu and Kashmir,Pakistan,2021-01-31 05:22:42,34.027401,73.947253,8988.0,260.0
204,Balochistan,Pakistan,2021-01-31 05:22:42,28.328492,65.898403,18815.0,195.0
