Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Balochistan,Pakistan,2022-01-15 04:21:07,28.328492,65.898403,33684.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-15 04:21:07,35.792146,74.982138,10439.0,186.0,
Islamabad,Pakistan,2022-01-15 04:21:07,33.665087,73.121219,110597.0,968.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-15 04:21:07,34.485332,72.09169,182100.0,5953.0,
Punjab,Pakistan,2022-01-15 04:21:07,30.811346,72.13913199999998,451408.0,13087.0,
Sindh,Pakistan,2022-01-15 04:21:07,26.009446,68.77680699999999,497153.0,7693.0,
Azad Jammu and Kashmir,Pakistan,2021-01-16 05:22:40,34.027401,73.947253,8583.0,238.0,8063.0
Balochistan,Pakistan,2021-01-16 05:22:40,28.328492,65.898403,18537.0,190.0,18060.0
Gilgit-Baltistan,Pakistan,2021-01-16 05:22:40,35.792146,74.982138,4882.0,101.0,4748.0
Islamabad,Pakistan,2021-01-16 05:22:40,33.665087,73.121219,39888.0,450.0,37621.0
Khyber Pakhtunkhwa,Pakistan,2021-01-16 05:22:40,34.485332,72.09169,62996.0,1773.0,57755.0
Punjab,Pakistan,2021-01-16 05:22:40,30.811346,72.13913199999998,148488.0,4387.0,133586.0
Sindh,Pakistan,2021-01-16 05:22:40,26.009446,68.77680699999999,233396.0,3769.0,212266.0
Azad Jammu and Kashmir,Pakistan,2022-01-16 04:21:12,34.027401,73.947253,34750.0,749.0,
Balochistan,Pakistan,2022-01-16 04:21:12,28.328492,65.898403,33699.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-16 04:21:12,35.792146,74.982138,10445.0,187.0,
Islamabad,Pakistan,2022-01-16 04:21:12,33.665087,73.121219,110963.0,969.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-16 04:21:12,34.485332,72.09169,182199.0,5958.0,
Punjab,Pakistan,2022-01-16 04:21:12,30.811346,72.13913199999998,452261.0,13088.0,
Sindh,Pakistan,2022-01-16 04:21:12,26.009446,68.77680699999999,499830.0,7694.0,
Azad Jammu and Kashmir,Pakistan,2021-01-17 05:22:17,34.027401,73.947253,8606.0,241.0,8082.0
Balochistan,Pakistan,2021-01-17 05:22:17,28.328492,65.898403,18569.0,190.0,18071.0
Gilgit-Baltistan,Pakistan,2021-01-17 05:22:17,35.792146,74.982138,4882.0,101.0,4750.0
Islamabad,Pakistan,2021-01-17 05:22:17,33.665087,73.121219,40019.0,456.0,37769.0
Khyber Pakhtunkhwa,Pakistan,2021-01-17 05:22:17,34.485332,72.09169,63339.0,1779.0,58082.0
Punjab,Pakistan,2021-01-17 05:22:17,30.811346,72.13913199999998,149222.0,4409.0,133952.0
Sindh,Pakistan,2021-01-17 05:22:17,26.009446,68.77680699999999,234654.0,3775.0,212933.0
Azad Jammu and Kashmir,Pakistan,2022-01-17 04:21:08,34.027401,73.947253,34758.0,749.0,
Balochistan,Pakistan,2022-01-17 04:21:08,28.328492,65.898403,33705.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-17 04:21:08,35.792146,74.982138,10445.0,187.0,
Islamabad,Pakistan,2022-01-17 04:21:08,33.665087,73.121219,111376.0,969.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-17 04:21:08,34.485332,72.09169,182311.0,5960.0,
Punjab,Pakistan,2022-01-17 04:21:08,30.811346,72.13913199999998,453392.0,13090.0,
Sindh,Pakistan,2022-01-17 04:21:08,26.009446,68.77680699999999,502500.0,7697.0,
Azad Jammu and Kashmir,Pakistan,2021-01-18 05:22:34,34.027401,73.947253,8631.0,241.0,8105.0
Balochistan,Pakistan,2021-01-18 05:22:34,28.328492,65.898403,18612.0,190.0,18100.0
Gilgit-Baltistan,Pakistan,2021-01-18 05:22:34,35.792146,74.982138,4884.0,101.0,4756.0
Islamabad,Pakistan,2021-01-18 05:22:34,33.665087,73.121219,40111.0,457.0,37914.0
Khyber Pakhtunkhwa,Pakistan,2021-01-18 05:22:34,34.485332,72.09169,63615.0,1783.0,58240.0
Punjab,Pakistan,2021-01-18 05:22:34,30.811346,72.13913199999998,149782.0,4432.0,134489.0
Sindh,Pakistan,2021-01-18 05:22:34,26.009446,68.77680699999999,235576.0,3793.0,213624.0
Azad Jammu and Kashmir,Pakistan,2022-01-18 04:21:04,34.027401,73.947253,34770.0,749.0,
Balochistan,Pakistan,2022-01-18 04:21:04,28.328492,65.898403,33729.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-18 04:21:04,35.792146,74.982138,10446.0,187.0,
Islamabad,Pakistan,2022-01-18 04:21:04,33.665087,73.121219,111855.0,969.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-18 04:21:04,34.485332,72.09169,182419.0,5963.0,
Punjab,Pakistan,2022-01-18 04:21:04,30.811346,72.13913199999998,454372.0,13091.0,
Sindh,Pakistan,2022-01-18 04:21:04,26.009446,68.77680699999999,505930.0,7703.0,
Azad Jammu and Kashmir,Pakistan,2021-01-19 05:22:15,34.027401,73.947253,8654.0,243.0,8138.0
Balochistan,Pakistan,2021-01-19 05:22:15,28.328492,65.898403,18622.0,190.0,18110.0
Gilgit-Baltistan,Pakistan,2021-01-19 05:22:15,35.792146,74.982138,4887.0,101.0,4756.0
Islamabad,Pakistan,2021-01-19 05:22:15,33.665087,73.121219,40177.0,457.0,38046.0
Khyber Pakhtunkhwa,Pakistan,2021-01-19 05:22:15,34.485332,72.09169,63825.0,1791.0,58348.0
Punjab,Pakistan,2021-01-19 05:22:15,30.811346,72.13913199999998,150316.0,4460.0,134842.0
Sindh,Pakistan,2021-01-19 05:22:15,26.009446,68.77680699999999,236530.0,3813.0,214231.0
Azad Jammu and Kashmir,Pakistan,2022-01-19 04:21:23,34.027401,73.947253,34811.0,749.0,
Balochistan,Pakistan,2022-01-19 04:21:23,28.328492,65.898403,33744.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-19 04:21:23,35.792146,74.982138,10455.0,187.0,
Islamabad,Pakistan,2022-01-19 04:21:23,33.665087,73.121219,112557.0,969.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-19 04:21:23,34.485332,72.09169,182619.0,5965.0,
Punjab,Pakistan,2022-01-19 04:21:23,30.811346,72.13913199999998,455499.0,13091.0,
Sindh,Pakistan,2022-01-19 04:21:23,26.009446,68.77680699999999,509308.0,7709.0,
Azad Jammu and Kashmir,Pakistan,2021-01-20 05:21:54,34.027401,73.947253,8672.0,245.0,8158.0
Balochistan,Pakistan,2021-01-20 05:21:54,28.328492,65.898403,18640.0,191.0,18119.0
Gilgit-Baltistan,Pakistan,2021-01-20 05:21:54,35.792146,74.982138,4892.0,102.0,4763.0
Islamabad,Pakistan,2021-01-20 05:21:54,33.665087,73.121219,40304.0,460.0,38148.0
Khyber Pakhtunkhwa,Pakistan,2021-01-20 05:21:54,34.485332,72.09169,64078.0,1799.0,58803.0
Punjab,Pakistan,2021-01-20 05:21:54,30.811346,72.13913199999998,150889.0,4476.0,135425.0
Sindh,Pakistan,2021-01-20 05:21:54,26.009446,68.77680699999999,237308.0,3830.0,215101.0
Azad Jammu and Kashmir,Pakistan,2022-01-20 04:21:07,34.027401,73.947253,34884.0,749.0,
Balochistan,Pakistan,2022-01-20 04:21:07,28.328492,65.898403,33780.0,367.0,
Gilgit-Baltistan,Pakistan,2022-01-20 04:21:07,35.792146,74.982138,10461.0,187.0,
Islamabad,Pakistan,2022-01-20 04:21:07,33.665087,73.121219,113688.0,969.0,
Khyber Pakhtunkhwa,Pakistan,2022-01-20 04:21:07,34.485332,72.09169,182950.0,5967.0,
