,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
165,Khyber Pakhtunkhwa,Pakistan,2021-01-25 05:22:16,34.485332,72.09169,65532.0,1839.0,214.69450408999717,2.8062625892693647
166,Punjab,Pakistan,2021-01-25 05:22:16,30.811346,72.13913199999998,154017.0,4568.0,139.9996193157861,2.965906360986125
167,Sindh,Pakistan,2021-01-25 05:22:16,26.009446,68.77680699999999,241200.0,3892.0,503.6957422110252,1.613598673300166
168,Azad Jammu and Kashmir,Pakistan,2021-01-26 05:22:02,34.027401,73.947253,8855.0,257.0,218.8924314882757,2.90231507622812
169,Balochistan,Pakistan,2021-01-26 05:22:02,28.328492,65.898403,18754.0,193.0,151.92304078089447,1.0291137890583342
170,Gilgit-Baltistan,Pakistan,2021-01-26 05:22:02,35.792146,74.982138,4902.0,102.0,483.6303651202072,2.08078335373317
171,Islamabad,Pakistan,2021-01-26 05:22:02,33.665087,73.121219,40892.0,468.0,2037.9034492657129,1.1444781375330138
172,Khyber Pakhtunkhwa,Pakistan,2021-01-26 05:22:02,34.485332,72.09169,65740.0,1848.0,215.37594913746585,2.8110739275935503
173,Punjab,Pakistan,2021-01-26 05:22:02,30.811346,72.13913199999998,154717.0,4608.0,140.63591098177787,2.978341100202305
174,Sindh,Pakistan,2021-01-26 05:22:02,26.009446,68.77680699999999,242054.0,3900.0,505.4791425586545,1.6112107215745246
175,Azad Jammu and Kashmir,Pakistan,2021-01-27 05:23:41,34.027401,73.947253,8877.0,258.0,219.4362636161969,2.906387293004393
176,Balochistan,Pakistan,2021-01-27 05:23:41,28.328492,65.898403,18765.0,193.0,152.01214995486217,1.0285105249134026
177,Gilgit-Baltistan,Pakistan,2021-01-27 05:23:41,35.792146,74.982138,4903.0,102.0,483.7290249254132,2.0803589638996534
178,Islamabad,Pakistan,2021-01-27 05:23:41,33.665087,73.121219,40972.0,469.0,2041.8903483154356,1.1446841745582348
179,Khyber Pakhtunkhwa,Pakistan,2021-01-27 05:23:41,34.485332,72.09169,65953.0,1857.0,216.0737750754987,2.815641441632678
180,Punjab,Pakistan,2021-01-27 05:23:41,30.811346,72.13913199999998,155214.0,4646.0,141.087678064632,2.99328668805649
181,Sindh,Pakistan,2021-01-27 05:23:41,26.009446,68.77680699999999,242793.0,3925.0,507.0223894636874,1.6166034440861146
182,Azad Jammu and Kashmir,Pakistan,2021-01-28 05:22:24,34.027401,73.947253,8931.0,259.0,220.77112429382163,2.9000111969544284
183,Balochistan,Pakistan,2021-01-28 05:22:24,28.328492,65.898403,18788.0,193.0,152.19846913679456,1.0272514370875028
184,Gilgit-Baltistan,Pakistan,2021-01-28 05:22:24,35.792146,74.982138,4906.0,102.0,484.0250043410313,2.079086832450061
185,Islamabad,Pakistan,2021-01-28 05:22:24,33.665087,73.121219,41076.0,472.0,2047.0733170800752,1.1490894926477748
